"date","type","name","title","text"
"19 апреля 2023","Новость","Мониторинг предприятий: индикатор бизнес-климата на максимуме за 10 лет","В апреле индикатор бизнес-климата (ИБК) Банка России увеличился до 8,3 пункта. Продолжилось улучшение ситуации в сфере производства, оценки компаний достигли максимального уровня за последнее десятилетие. Текущие оценки спроса перешли в позитивную зону впервые с января 2022 года.","Ценовые ожидания бизнеса в апреле выросли, как и месяцем ранее, но не превысили среднегодовых значений двух предыдущих лет.  Более подробно читайте в апрельском выпуске информационно-аналитического комментария «Мониторинг предприятий».  Фото на превью: Андрей Рубцов / ТАСС"
"19 апреля 2023","Новость","Доклад «Региональная экономика»: потребительский спрос продолжает постепенно восстанавливаться","В марте — первой половине апреля 2023 года потребительская активность продолжила восстанавливаться, особенно заметно — в сфере услуг и общественном питании. Ожидания предприятий розничной торговли и сферы услуг оставались преимущественно позитивными. Месячные темпы роста потребительских цен немного ускорились, но оставались умеренными на большинстве товарных рынков.","Экономическая активность возросла в ряде отраслей. Рост внутреннего спроса поддерживал производство, расширилось строительство транспортной и складской инфраструктуры, решена часть логистических проблем на восточном направлении.  В фокусе этого выпуска — влияние динамики восстановления потребительского спроса и изменения его структуры на деятельность компаний, а также состояние агропромышленного комплекса перед весенней посевной и ожидания по урожаю.  Подробнее читайте в апрельском выпуске доклада «Региональная экономика: комментарии ГУ».  Фото на превью: Alexandr Soloviev / shutterstock"
"19 апреля 2023","Новость","В марте годовая инфляция снизилась во всех регионах","Снижение произошло из-за эффекта высокой базы: показатель годовой инфляции включает рост цен с апреля 2022 года по март 2023 года и уже не учитывает сильный скачок цен в марте прошлого года.","Сдерживающее влияние на цены продолжала оказывать ограниченная потребительская активность, восстановление поставок импортных непродовольственных товаров и другие факторы.  Динамику цен на продовольствие, помимо эффекта высокой базы, определяло снижение издержек производителей мяса и молока и увеличение предложения этой продукции. Основной вклад в замедление роста цен на непродовольственные товары вносили легковые автомобили и электроника. Динамика цен на услуги по регионам была более разнородной, в основном за счет воздушного транспорта и зарубежного туризма.  Подробнее об инфляции в каждом регионе можно узнать в опубликованных на сайте Банка России информационно-аналитических материалах.  Фото на превью: Pikoso.kz / shutterstock"
"18 апреля 2023","Новость","О чем говорят тренды: продолжение роста экономической активности в марте","В марте экономический рост продолжился в большинстве отраслей. Его драйвером по-прежнему выступает спрос со стороны бюджета и домохозяйств. Увеличение реальных доходов населения способствует активизации потребительского спроса и со временем может привести к постепенному отказу от модели бережливого потребления.","Несмотря на оживление спроса и улучшение потребительских настроений, рост цен остается умеренным. Его сдерживают в том числе созданные ранее запасы и снижение мировых продовольственных цен. При этом инфляционные ожидания сохраняются на повышенном уровне, а проинфляционные риски по-прежнему преобладают над дезинфляционными.  Более подробно читайте в бюллетене «О чем говорят тренды».  Фото на превью: Gorodenkoff / Shutterstock / Fotodom"
"17 апреля 2023","Новость","Годовая инфляция снизилась, но текущий рост цен усиливается","В марте годовая инфляция резко снизилась из-за эффекта высокой базы: из ее расчета вышел очень сильный скачок цен марта прошлого года. В то же время месячные темпы роста цен с поправкой на сезонность в I квартале 2023 года в среднем были выше, чем в IV квартале 2022 года. Это указывает на постепенное усиление ценового давления после периода очень сдержанного роста цен во второй половине 2022 года.","По прогнозу Банка России, годовая инфляция составит 5,0–7,0% в 2023 году, вернется к 4% в 2024 году и будет находиться вблизи 4% в дальнейшем.  Более подробно читайте в информационно-аналитическом комментарии Банка России «Динамика потребительских цен».  Фото на превью: Rawpixel / Shutterstock / Fotodom"
"17 апреля 2023","Новость","Требования к методологии кредитных рейтинговых агентств и к раскрытию ими информации: проекты указаний Банка России","Банк России разработал требования к содержанию, проверке качества методологии кредитных рейтинговых агентств (КРА) и ее оценке регулятором, а также к раскрытию информации на сайтах КРА и срокам ее размещения. Проекты нормативных актов опубликованы Банком России для общественных обсуждений. Это позволит создать единые правила на рынке и повысить доверие к рейтинговой отрасли.","Методология присвоения кредитных рейтингов должна предусматривать проверку их достоверности, собственную оценку кредитоспособности рейтингуемых лиц и единообразное применение событий дефолта, а также обеспечивать сопоставимость видов объектов рейтингов.  КРА будут проверять качество своей методологии при ее разработке, пересмотре, а также не реже одного раза в три года. Банк России, в свою очередь, оценивает методологию на соответствие законодательству.  На своих сайтах КРА должны размещать не только информацию о себе и внутренние документы, но и перечень присвоенных рейтингов, методологии и сведения о процедурах осуществления рейтинговых действий.  Замечания и предложения к проектам указаний принимаются до 30 апреля включительно.  Фото на превью: Agsandrew / Shutterstock / Fotodom"
"13 апреля 2023","Новость","Банк России открывает набор слушателей IV Летней макроэкономической школы","4 июля в Санкт-Петербурге пройдет IV Летняя макроэкономическая школа Банка России. Однодневный интенсивный курс будет посвящен различным аспектам денежно-кредитной политики и работе регулятора по оценке ее эффективности.","Перед слушателями с лекциями и мастер-классами выступят представители Банка России. Участников интенсива также ждет деловая игра «Ключевая ставка». Им предстоит проанализировать тенденции в экономике, обсудить макроэкономический прогноз и, представив себя членами Совета директоров Банка России, принять решение по ключевой ставке.  В Летнюю школу приглашаются студенты, аспиранты и преподаватели российских вузов экономических направлений.  Заявки принимаются до 10 мая 2023 года включительно.  Фото на превью: Antonio Guillem / Shutterstock / Fotodom"
"11 апреля 2023","Новость","В марте оперативные индикаторы денежно-кредитных условий демонстрировали некоторое ужесточение","Участники рынка пересмотрели ожидания по траектории ключевой ставки с учетом решения Совета директоров Банка России от 17 марта. Это отразилось в снижении кривых денежного и долгового рынков. Значимого влияния на денежно-кредитные условия такое движение не оказало, так как инфляционные ожидания населения также снизились.","В феврале — марте на кредитном и депозитном рынках сохранялись основные тенденции, характерные для предшествующих месяцев. Население наращивало средства на депозитах, по-прежнему отдавая предпочтение рублевым счетам. Темпы роста денежной массы оставались вблизи локальных максимумов, причем вклад бюджетных операций в ее рост продолжал увеличиваться и стал сопоставимым с вкладом кредитования. Более подробно читайте в информационно-аналитическом комментарии «Денежно-кредитные условия и трансмиссионный механизм денежно-кредитной политики».  Фото на превью: Eshma / Shutterstock / Fotodom"
"11 апреля 2023","Новость","Банк России ограничит рискованные ипотечные программы с экстремально низкими ставками","Банк России дестимулирует выдачу ипотечных кредитов, полная стоимость (ПСК) которых существенно ниже рыночного уровня. С 30 мая 2023 года по таким ссудам, выданным после 15 марта 2023 года, банкам необходимо будет формировать дополнительные резервы. При этом у них остается достаточно возможностей для рыночного снижения ставок.","Соответствующие изменения внесены в Положение Банка России № 590-П.  В последнее время распространение получила так называемая «ипотека от застройщика» с экстремально низкими нерыночными ставками вплоть до 0,1%, которые достигаются за счет завышения цены приобретаемой квартиры на 20–30%. Эту разницу застройщик затем в виде комиссии платит банку для компенсации его выпадающих доходов. Такие программы несут риски для заемщиков, банков, а также искажают общую статистику, что в итоге мешает принятию взвешенных решений всеми участниками. Регулирование Банка России будет ограничивать распространение таких схем и способствовать снижению рисков.  Под повышенное резервирование подпадают ипотечные кредиты, полная стоимость которых существенно ниже рыночного уровня (рыночной процентной ставки, РПС) — в качестве такового применяется значение доходности 10-летних ОФЗ, усредненное за три предшествующих дате выдачи календарных месяца (если кредит выдается в рамках госпрограмм, то за вычетом размера возмещения). Резерв увеличивается на 30%, если ПСК ниже РПС более чем на 1/5, и на 50%, если ниже более чем на 1/2.  Для обеспечения единообразного применения введенных мер с 7 апреля 2023 года на сайте Банка России в первый рабочий день месяца публикуется РПС по состоянию на первое число отчетного месяца.  Фото на превью: Кирилл Кухмарь / ТАСС"
"11 апреля 2023","Новость","Российский финансовый сектор в 2022 году показал устойчивость к существенному изменению внешних условий","Регуляторные послабления Банка России и меры поддержки Правительства Российской Федерации способствовали устойчивой работе финансовой системы. В то же время влияние санкционных рисков и рыночной волатильности на финансовые организации было неоднородным.","Банковское кредитование оставалось основным каналом привлечения средств российскими компаниями. В результате кредитный портфель в 2022 году уверенно рос, несмотря на снижение деловой активности.  В условиях неопределенности сократился горизонт финансового планирования, граждане предпочитали менее рискованные инструменты. При этом временный сдвиг в структуре спроса населения на финансовые активы в пользу банковских вкладов сказался на бизнесе небанковских финансовых организаций.  Более подробно читайте в Обзоре российского финансового сектора и финансовых инструментов за 2022 год.  Фото на превью: Gorodenkoff / Shutterstock / Fotodom"
"10 апреля 2023","Новость","Доля юаня на биржевых торгах обновила максимум в марте","Валютная пара юань/рубль в обороте биржевых торгов достигла 39%, в то время как доля пары доллар США / рубль снизилась до минимальных за последние годы 34%.","Индекс МосБиржи по итогам прошлого месяца вырос на 8,8% и вернулся к уровню до падения в сентябре 2022 года. Акции российских компаний обновили в марте локальные максимумы благодаря позитивной финансовой отчетности.  Банк России провел оценку потенциальной чувствительности российской банковской системы к росту доходности облигаций. В целом кредитные организации устойчивы к повышению ставок даже с учетом переоценки портфеля бумаг, удерживаемого до погашения. При этом Банк России может предоставить дополнительную ликвидность в случае необходимости.  Более подробно читайте в очередном выпуске «Обзора рисков финансовых рынков».  Фото на превью: Parilov / Shutterstock / Fotodom"
"10 апреля 2023","Новость","Как банки и МФО консультируют заемщиков: опрос Банка России","Банк России приглашает граждан, которые в этом или прошлом году оформляли кредит или заем, пройти специальный опрос.","С его помощью регулятор сможет оценить, насколько полно и добросовестно сотрудники банков и микрофинансовых организаций раскрывают важную для заемщиков информацию. Значительная часть вопросов касается возможного навязывания дополнительных платных услуг на этапе консультаций.  Результаты исследования будут опубликованы. Банк России учтет их как в надзорной деятельности, так и при разработке нового регулирования в сфере защиты прав потребителей.  Опрос анонимный, займет несколько минут, его можно пройти до 23 апреля включительно.  Фото на превью: Dean Drobot / Shutterstock / Fotodom"
"07 апреля 2023","Новость","Почти 2 млн школьников приняли участие в олимпиаде по финансовой грамотности и предпринимательству ","Лучше всего школьникам удалось распознать уловки злоумышленников (84% верных ответов), а также проанализировать деятельность предприятий, определив их слабые и сильные стороны (75%). Таковы итоги шестой онлайн-олимпиады по финансовой грамотности и предпринимательству для учеников 1 — 9 классов. Она проходила с 1 по 31 марта на образовательной платформе Учи.ру.","Самым сложным для участников оказалось реализовать себя в роли владельца кафе. Им предлагалось пройти основные этапы такой работы — от закупки оборудования и ценообразования до продвижения своих услуг и создания клиентского сервиса. Выстроить весь процесс удалось только 5% учеников.  Большинство школьников испытали трудности и при выборе страховки в зависимости от разных жизненных обстоятельств — справились с заданием всего 11%.  Олимпиада проводится при содействии Банка России, Минфина и Минэкономразвития в соответствии с задачами национального проекта «Малое и среднее предпринимательство». В 2021 году в ней участвовали более 800 тыс. школьников, а в 2022 году — более 1,6 млн."
"06 апреля 2023","Новость","Мониторинг отраслевых финансовых потоков: замедление роста поступлений в марте","В марте объем входящих платежей, проведенных через платежную систему Банка России, превысил средний уровень IV квартала 2022 года на 2,2%, но прирост замедлился по сравнению с февралем.","Динамика поступлений по отраслям была неоднородной. Уровень платежей в отраслях, ориентированных на потребительский, промежуточный и государственный спрос, остался выше среднего уровня IV квартала. В отраслях, ориентированных на инвестиционный спрос и экспорт, платежи опустились по сравнению с предыдущим кварталом. В большинстве федеральных округов поступления увеличились относительно среднего уровня октября — декабря.  Подробнее читайте в очередном выпуске «Мониторинга отраслевых финансовых потоков»."
"06 апреля 2023","Новость","Банк России расширил возможности использования банками мобильных офисов","Регулятор упрощает порядок открытия банками передвижных пунктов кассовых операций и меняет наименование подразделения на «мобильный офис». При этом расширяется перечень банковских операций, которые вправе осуществлять мобильный офис. Соответствующее указание Банка России вступает в силу с 1 октября 2023 года.","Эти изменения учитывают предложения участников финансового рынка, в том числе высказанные в рамках «регуляторной гильотины». Они позволят кредитным организациям расширить возможности по оказанию банковских услуг на отдаленных и малонаселенных территориях, в зонах бедствий и чрезвычайных ситуаций.  Мобильный офис сможет дополнительно проводить операции по кредитованию граждан, переводы по их счетам и без открытия банковского счета, осуществлять кассовое обслуживание в полном объеме, предоставлять услуги инкассации компаниям.  Кредитная организация будет самостоятельно определять количество сотрудников, работающих в мобильном офисе (ранее устанавливалась минимальная численность).  Банкам не нужно будет совершать каких-либо действий по переименованию функционирующих передвижных пунктов в связи со сменой наименования на «мобильный офис».  Фото на превью: alphaspirit.it / Shutterstock / Fotodom"
"03 апреля 2023","Новость","Лимиты на инвестирование активов ПИФ: проект указания Банка России","Доля активов паевых инвестиционных фондов (ПИФ) для неквалифицированных инвесторов, которые можно вложить в иностранные бумаги недружественных стран, не должна превышать 40%. Соответствующий проект указания Банка России опубликован для оценки регулирующего воздействия. Это позволит минимизировать риски, связанные с возможной блокировкой со стороны иностранных институтов.","Кроме того, расширяется перечень активов, доступных для инвестиций. Имущество ПИФ можно будет размещать в российские облигации, которые направлены на финансирование проектов технологического суверенитета и (или) структурной адаптации экономики и не допущены к организованным торгам. Но доля таких ценных бумаг в составе ПИФ не должна превышать 5%.  Проект указания также исключает требования к минимальной сумме инвестиций в закрытые ПИФ, относящиеся к категории фондов недвижимости (сейчас это 100 тыс. рублей).  Предложения и замечания принимаются до 17 апреля 2023 года (включительно).  Фото на превью: Romolo Tavani / Shutterstock / Fotodom"
